model,RMSE,MAE,R2
RF_Baseline,0.06889150127602485,0.005163767476814366,0.9970370004451428
RF_Tuned,0.06855130199265705,0.005191320727954912,0.9970661918964421
XGB_Baseline,0.08911111910024715,0.03581762686371803,0.9950425028800964
XGB_Tuned,0.052003878347371746,0.006453527137637138,0.9983116388320923
