model,RMSE,MAE,R2
RF_Baseline,0.06889150127602484,0.005163767476814365,0.9970370004451428
RF_Tuned,0.06855130199265705,0.005191320727954911,0.9970661918964421
XGB_Baseline,0.07059089528708017,0.024486606940627098,0.9968889951705933
XGB_Tuned,0.052003878347371746,0.006453527137637138,0.9983116388320923
